target	compound	pchembl_value	
CHEMBL3632455	CHEMBL4779773	6.920	
CHEMBL4685	CHEMBL4778760	8.150	
CHEMBL6082	CHEMBL477772	5.660	
CHEMBL5932	CHEMBL477772	5.610	
CHEMBL5808	CHEMBL477772	5.680	
CHEMBL5785	CHEMBL477772	5.720	
CHEMBL5749	CHEMBL477772	6.120	
CHEMBL5703	CHEMBL477772	5.600	
CHEMBL5699	CHEMBL477772	5.140	
CHEMBL5600	CHEMBL477772	5.400	
CHEMBL5568	CHEMBL477772	6.040	
CHEMBL5466	CHEMBL477772	5.620	
CHEMBL5464	CHEMBL477772	6.320	
CHEMBL5432	CHEMBL477772	5.800	
CHEMBL5416	CHEMBL477772	5.890	
CHEMBL5364	CHEMBL477772	5.360	
CHEMBL5334	CHEMBL477772	6.010	
CHEMBL5331	CHEMBL477772	5.480	
CHEMBL5319	CHEMBL477772	7.060	
CHEMBL5274	CHEMBL477772	6.160	
CHEMBL5258	CHEMBL477772	5.430	
CHEMBL5145	CHEMBL477772	6.255	
CHEMBL5122	CHEMBL477772	7.001	
CHEMBL5081	CHEMBL477772	5.345	
CHEMBL5014	CHEMBL477772	5.680	
CHEMBL4852	CHEMBL477772	5.520	
CHEMBL4722	CHEMBL477772	5.585	
CHEMBL4601	CHEMBL477772	5.640	
CHEMBL4597	CHEMBL477772	5.920	
CHEMBL4527	CHEMBL477772	6.510	
CHEMBL4522	CHEMBL477772	5.060	
CHEMBL4454	CHEMBL477772	5.800	
CHEMBL4367	CHEMBL477772	5.580	
CHEMBL4355	CHEMBL477772	6.700	
CHEMBL4312	CHEMBL477772	6.330	
CHEMBL4247	CHEMBL477772	5.660	
CHEMBL4223	CHEMBL477772	6.120	
CHEMBL4142	CHEMBL477772	6.765	
CHEMBL4105885	CHEMBL477772	4.790	
CHEMBL4014	CHEMBL477772	5.520	
CHEMBL3983	CHEMBL477772	6.820	
CHEMBL3982	CHEMBL477772	5.570	
CHEMBL3981	CHEMBL477772	7.080	
CHEMBL3973	CHEMBL477772	5.550	
CHEMBL3938	CHEMBL477772	6.440	
CHEMBL3935	CHEMBL477772	6.120	
CHEMBL3905	CHEMBL477772	6.050	
CHEMBL3836	CHEMBL477772	5.890	
CHEMBL3830	CHEMBL477772	5.540	
CHEMBL3788	CHEMBL477772	6.540	
CHEMBL3650	CHEMBL477772	6.622	
CHEMBL3594	CHEMBL477772	8.040	
CHEMBL2897	CHEMBL477772	6.230	
CHEMBL2873	CHEMBL477772	5.680	
CHEMBL2872	CHEMBL477772	6.540	
CHEMBL279	CHEMBL477772	7.669	
CHEMBL2777	CHEMBL477772	5.700	
CHEMBL2742	CHEMBL477772	6.170	
CHEMBL2708	CHEMBL477772	5.993	
CHEMBL267	CHEMBL477772	5.550	
CHEMBL2637	CHEMBL477772	5.720	
CHEMBL258	CHEMBL477772	5.920	
CHEMBL2493	CHEMBL477772	5.680	
CHEMBL2250	CHEMBL477772	5.580	
CHEMBL220	CHEMBL477772	6.030	
CHEMBL2171	CHEMBL477772	5.390	
CHEMBL2148	CHEMBL477772	5.160	
CHEMBL2073	CHEMBL477772	5.300	
CHEMBL2007	CHEMBL477772	7.730	
CHEMBL1974	CHEMBL477772	5.750	
CHEMBL1955	CHEMBL477772	7.380	
CHEMBL1936	CHEMBL477772	7.524	
CHEMBL1913	CHEMBL477772	7.262	
CHEMBL1906	CHEMBL477772	6.050	
CHEMBL1868	CHEMBL477772	7.772	
CHEMBL1862	CHEMBL477772	5.620	
CHEMBL1844	CHEMBL477772	7.167	
CHEMBL1841	CHEMBL477772	5.570	
CHEMBL1795199	CHEMBL477772	5.730	
CHEMBL5776	CHEMBL477	4.915	
CHEMBL256	CHEMBL477	6.335	
CHEMBL255	CHEMBL477	4.455	
CHEMBL251	CHEMBL477	6.495	
CHEMBL1795117	CHEMBL477	4.000	
CHEMBL2608	CHEMBL476960	6.205	
CHEMBL2074	CHEMBL476960	5.890	
CHEMBL264	CHEMBL476323	8.718	
CHEMBL240	CHEMBL476323	5.000	
CHEMBL203	CHEMBL4761468	9.740	
CHEMBL5853	CHEMBL4760665	7.760	
CHEMBL3116	CHEMBL4756595	8.520	
CHEMBL5251	CHEMBL4756476	9.206	
CHEMBL5393	CHEMBL475534	4.680	
CHEMBL4619	CHEMBL475534	5.730	
CHEMBL240	CHEMBL475534	5.000	
CHEMBL4937	CHEMBL4754493	8.360	
CHEMBL3116	CHEMBL4754493	8.400	
CHEMBL3055	CHEMBL4754493	8.890	
CHEMBL2828	CHEMBL4754493	8.740	
CHEMBL2793	CHEMBL4754493	8.280	
CHEMBL3231	CHEMBL4753043	9.700	
CHEMBL5855	CHEMBL475251	6.500	
CHEMBL5699	CHEMBL475251	6.050	
CHEMBL5679	CHEMBL475251	6.770	
CHEMBL5659	CHEMBL475251	6.690	
CHEMBL5638	CHEMBL475251	6.770	
CHEMBL5408	CHEMBL475251	6.460	
CHEMBL5334	CHEMBL475251	6.760	
CHEMBL5319	CHEMBL475251	6.380	
CHEMBL5257	CHEMBL475251	7.275	
CHEMBL5122	CHEMBL475251	5.720	
CHEMBL5081	CHEMBL475251	7.370	
CHEMBL5047	CHEMBL475251	6.570	
CHEMBL5044	CHEMBL475251	7.890	
CHEMBL4849	CHEMBL475251	7.960	
CHEMBL4722	CHEMBL475251	7.530	
CHEMBL4602	CHEMBL475251	6.990	
CHEMBL4482	CHEMBL475251	6.250	
CHEMBL4309	CHEMBL475251	8.200	
CHEMBL4203	CHEMBL475251	6.690	
CHEMBL4179	CHEMBL475251	5.740	
CHEMBL4105885	CHEMBL475251	7.620	
CHEMBL4105746	CHEMBL475251	6.640	
CHEMBL4070	CHEMBL475251	6.990	
CHEMBL3938	CHEMBL475251	7.020	
CHEMBL3905	CHEMBL475251	6.130	
CHEMBL3879831	CHEMBL475251	5.510	
CHEMBL3788	CHEMBL475251	6.760	
CHEMBL3650	CHEMBL475251	6.050	
CHEMBL3529	CHEMBL475251	6.750	
CHEMBL3357	CHEMBL475251	6.190	
CHEMBL2971	CHEMBL475251	8.055	
CHEMBL2803	CHEMBL475251	7.380	
CHEMBL279	CHEMBL475251	7.720	
CHEMBL2708	CHEMBL475251	7.750	
CHEMBL2599	CHEMBL475251	6.916	
CHEMBL2276	CHEMBL475251	5.630	
CHEMBL2185	CHEMBL475251	6.960	
CHEMBL1974	CHEMBL475251	8.300	
CHEMBL4224	CHEMBL4751394	6.510	
CHEMBL4204	CHEMBL4751394	6.480	
CHEMBL2431	CHEMBL4751394	7.647	
CHEMBL216	CHEMBL4751394	5.855	
CHEMBL1868	CHEMBL4751394	6.680	
CHEMBL6152	CHEMBL4748063	6.720	
CHEMBL1293224	CHEMBL474260	5.350	
CHEMBL1075138	CHEMBL474260	4.100	
CHEMBL2695	CHEMBL4742157	8.303	
CHEMBL2146302	CHEMBL4741924	7.655	
CHEMBL5971	CHEMBL473417	8.026	
CHEMBL5602	CHEMBL473417	6.790	
CHEMBL5393	CHEMBL473417	5.850	
CHEMBL4822	CHEMBL473159	4.440	
CHEMBL240	CHEMBL473	7.708	
CHEMBL1293224	CHEMBL47298	4.700	
CHEMBL1075138	CHEMBL47259	4.100	
CHEMBL4040	CHEMBL472566	3.030	
CHEMBL1293224	CHEMBL472566	4.500	
CHEMBL6020	CHEMBL472	5.280	
CHEMBL240	CHEMBL472	4.130	
CHEMBL235	CHEMBL472	5.910	
CHEMBL1795168	CHEMBL472	5.095	
CHEMBL1741208	CHEMBL472	4.920	
CHEMBL1293224	CHEMBL472	4.400	
CHEMBL1250417	CHEMBL471737	5.370	
CHEMBL1947	CHEMBL471488	8.530	
CHEMBL1860	CHEMBL471488	7.450	
CHEMBL238	CHEMBL471036	5.530	
CHEMBL228	CHEMBL471036	8.225	
CHEMBL222	CHEMBL471036	5.520	
CHEMBL6007	CHEMBL470670	4.020	
CHEMBL1075319	CHEMBL470670	4.610	
CHEMBL3426	CHEMBL47050	6.000	
CHEMBL3371	CHEMBL47050	6.000	
CHEMBL246	CHEMBL47050	6.290	
CHEMBL236	CHEMBL47050	5.770	
CHEMBL234	CHEMBL47050	6.870	
CHEMBL233	CHEMBL47050	6.060	
CHEMBL231	CHEMBL47050	6.000	
CHEMBL225	CHEMBL47050	6.050	
CHEMBL224	CHEMBL47050	6.440	
CHEMBL223	CHEMBL47050	6.220	
CHEMBL219	CHEMBL47050	6.000	
CHEMBL217	CHEMBL47050	6.800	
CHEMBL214	CHEMBL47050	6.450	
CHEMBL2056	CHEMBL47050	6.830	
CHEMBL1983	CHEMBL47050	5.450	
CHEMBL1942	CHEMBL47050	6.400	
CHEMBL1941	CHEMBL47050	6.000	
CHEMBL1850	CHEMBL47050	6.900	
CHEMBL1833	CHEMBL47050	6.740	
CHEMBL2264	CHEMBL469912	5.310	
CHEMBL1907	CHEMBL469912	4.390	
CHEMBL4600	CHEMBL469	4.440	
CHEMBL221	CHEMBL469	6.900	
CHEMBL1978	CHEMBL468419	8.505	
CHEMBL2487	CHEMBL468154	4.000	
CHEMBL242	CHEMBL46740	7.745	
CHEMBL206	CHEMBL46740	7.165	
CHEMBL3880	CHEMBL467399	7.159	
CHEMBL1075323	CHEMBL467399	6.750	
CHEMBL1075132	CHEMBL467399	6.843	
CHEMBL1075138	CHEMBL46730	5.700	
CHEMBL4789	CHEMBL467	4.510	
CHEMBL3594	CHEMBL467	4.640	
CHEMBL205	CHEMBL467	4.550	
CHEMBL209	CHEMBL46618	6.520	
CHEMBL3979	CHEMBL465183	5.370	
CHEMBL239	CHEMBL465183	5.850	
CHEMBL235	CHEMBL465183	5.620	
CHEMBL5845	CHEMBL46516	5.920	
CHEMBL3371	CHEMBL46516	5.920	
CHEMBL2014	CHEMBL46516	6.300	
CHEMBL1833	CHEMBL46516	6.820	
CHEMBL1293224	CHEMBL46516	4.625	
CHEMBL1075138	CHEMBL46516	4.700	
CHEMBL238	CHEMBL465123	5.265	
CHEMBL228	CHEMBL465123	7.320	
CHEMBL222	CHEMBL465123	5.380	
CHEMBL3864	CHEMBL4650521	8.052	
CHEMBL264	CHEMBL4650365	6.480	
CHEMBL240	CHEMBL4650365	4.660	
CHEMBL206	CHEMBL4650365	9.243	
CHEMBL240	CHEMBL4650360	5.470	
CHEMBL2835	CHEMBL4650343	8.000	
CHEMBL2148	CHEMBL4650343	7.500	
CHEMBL5857	CHEMBL4650337	6.850	
CHEMBL217	CHEMBL4650337	4.810	
CHEMBL214	CHEMBL4650337	5.640	
CHEMBL333	CHEMBL4650334	5.940	
CHEMBL2318	CHEMBL4650334	6.810	
CHEMBL2285	CHEMBL4650334	7.460	
CHEMBL2406899	CHEMBL4650332	5.700	
CHEMBL5251	CHEMBL4650323	8.826	
CHEMBL4246	CHEMBL4650323	8.110	
CHEMBL3308911	CHEMBL4650323	6.700	
CHEMBL203	CHEMBL4650323	7.130	
CHEMBL5251	CHEMBL4650321	8.250	
CHEMBL4246	CHEMBL4650321	7.430	
CHEMBL203	CHEMBL4650321	5.230	
CHEMBL203	CHEMBL4650319	8.435	
CHEMBL4051	CHEMBL4650318	7.038	
CHEMBL240	CHEMBL4650316	5.210	
CHEMBL206	CHEMBL4650316	10.300	
CHEMBL240	CHEMBL4650304	4.370	
CHEMBL5024	CHEMBL4650286	8.100	
CHEMBL4040	CHEMBL4650285	9.245	
CHEMBL3385	CHEMBL4650285	8.745	
CHEMBL4040	CHEMBL4650284	8.000	
CHEMBL3385	CHEMBL4650284	8.000	
CHEMBL1974	CHEMBL4650283	9.750	
CHEMBL203	CHEMBL4650281	8.960	
CHEMBL4040	CHEMBL4650280	8.700	
CHEMBL3385	CHEMBL4650280	8.700	
CHEMBL1075138	CHEMBL465026	5.950	
CHEMBL4361	CHEMBL4650225	10.920	
CHEMBL4005	CHEMBL4650215	9.095	
CHEMBL3267	CHEMBL4650215	7.740	
CHEMBL3145	CHEMBL4650215	7.000	
CHEMBL3130	CHEMBL4650215	7.910	
CHEMBL5845	CHEMBL465	5.890	
CHEMBL5516	CHEMBL465	4.940	
CHEMBL4835	CHEMBL465	4.850	
CHEMBL2384898	CHEMBL465	5.567	
CHEMBL2243	CHEMBL465	4.360	
CHEMBL2189127	CHEMBL465	4.320	
CHEMBL1075322	CHEMBL465	4.850	
CHEMBL1075319	CHEMBL465	6.800	
CHEMBL3979	CHEMBL464982	6.120	
CHEMBL239	CHEMBL464982	6.570	
CHEMBL235	CHEMBL464982	5.660	
CHEMBL1856	CHEMBL464982	4.850	
CHEMBL6000	CHEMBL4647810	6.180	
CHEMBL5024	CHEMBL4647810	7.913	
CHEMBL4355	CHEMBL4647810	6.240	
CHEMBL3797	CHEMBL4647810	5.850	
CHEMBL3145	CHEMBL4647810	5.490	
CHEMBL3142	CHEMBL4647810	6.480	
CHEMBL2163183	CHEMBL46469	7.000	
CHEMBL2079849	CHEMBL46469	6.640	
CHEMBL1293224	CHEMBL46469	4.700	
CHEMBL1075138	CHEMBL46469	4.900	
CHEMBL284	CHEMBL4646510	8.380	
CHEMBL4465	CHEMBL46423	6.430	
CHEMBL2782	CHEMBL46423	8.050	
CHEMBL3979	CHEMBL46403	5.220	
CHEMBL335	CHEMBL46403	5.640	
CHEMBL239	CHEMBL46403	5.180	
CHEMBL235	CHEMBL46403	4.520	
CHEMBL1075138	CHEMBL46403	4.600	
CHEMBL5963	CHEMBL463763	7.745	
CHEMBL3769292	CHEMBL463763	4.510	
CHEMBL5849	CHEMBL4635331	6.050	
CHEMBL1741186	CHEMBL4634542	7.740	
CHEMBL4296	CHEMBL4633566	7.640	
CHEMBL1293224	CHEMBL463210	4.850	
CHEMBL1075138	CHEMBL463210	4.375	
CHEMBL1641347	CHEMBL463	5.220	
CHEMBL1293224	CHEMBL463	4.500	
CHEMBL1075138	CHEMBL462997	6.350	
CHEMBL2781	CHEMBL462831	5.920	
CHEMBL264	CHEMBL462605	8.330	
CHEMBL240	CHEMBL462605	5.770	
CHEMBL231	CHEMBL462605	5.940	
CHEMBL5393	CHEMBL461101	5.510	
CHEMBL240	CHEMBL461101	6.160	
CHEMBL1941	CHEMBL46102	6.600	
CHEMBL5331	CHEMBL460702	7.850	
CHEMBL5330	CHEMBL460702	5.680	
CHEMBL5319	CHEMBL460702	7.410	
CHEMBL5314	CHEMBL460702	8.370	
CHEMBL5122	CHEMBL460702	7.190	
CHEMBL4948	CHEMBL460702	5.680	
CHEMBL4895	CHEMBL460702	8.590	
CHEMBL4223	CHEMBL460702	6.480	
CHEMBL4101	CHEMBL460702	6.260	
CHEMBL4014	CHEMBL460702	5.820	
CHEMBL3788	CHEMBL460702	6.520	
CHEMBL3717	CHEMBL460702	8.007	
CHEMBL2815	CHEMBL460702	6.540	
CHEMBL279	CHEMBL460702	6.823	
CHEMBL2689	CHEMBL460702	8.740	
CHEMBL258	CHEMBL460702	6.360	
CHEMBL2185	CHEMBL460702	6.540	
CHEMBL2007	CHEMBL460702	7.550	
CHEMBL1974	CHEMBL460702	7.397	
CHEMBL1936	CHEMBL460702	6.840	
CHEMBL1862	CHEMBL460702	6.280	
CHEMBL5463	CHEMBL460499	6.840	
CHEMBL4523512	CHEMBL460499	4.700	
CHEMBL1835	CHEMBL460291	5.770	
CHEMBL3979	CHEMBL460026	5.400	
CHEMBL239	CHEMBL460026	5.960	
CHEMBL235	CHEMBL460026	5.750	
CHEMBL2061	CHEMBL460026	5.120	
CHEMBL1978	CHEMBL460026	4.270	
CHEMBL3155	CHEMBL460	6.580	
CHEMBL5685	CHEMBL46	4.690	
CHEMBL240	CHEMBL46	6.168	
CHEMBL2073673	CHEMBL46	4.760	
CHEMBL1899	CHEMBL46	8.510	
CHEMBL1743127	CHEMBL46	6.660	
CHEMBL1743126	CHEMBL46	7.160	
CHEMBL1743122	CHEMBL46	5.770	
CHEMBL2189116	CHEMBL4597193	9.360	
CHEMBL5141	CHEMBL459505	8.290	
CHEMBL3713687	CHEMBL459505	9.340	
CHEMBL3231	CHEMBL4594454	7.190	
CHEMBL5731	CHEMBL4594448	7.327	
CHEMBL6120	CHEMBL4594446	6.300	
CHEMBL256	CHEMBL4594442	4.640	
CHEMBL255	CHEMBL4594442	7.250	
CHEMBL251	CHEMBL4594442	8.765	
CHEMBL3553	CHEMBL4594441	7.920	
CHEMBL2835	CHEMBL4594441	8.680	
CHEMBL2148	CHEMBL4594441	6.040	
CHEMBL4105907	CHEMBL4594433	6.610	
CHEMBL238	CHEMBL4594433	5.470	
CHEMBL231	CHEMBL4594433	5.450	
CHEMBL223	CHEMBL4594433	5.490	
CHEMBL4439	CHEMBL4594432	7.420	
CHEMBL3797	CHEMBL4594429	9.580	
CHEMBL240	CHEMBL4594429	5.180	
CHEMBL4142	CHEMBL4594428	9.275	
CHEMBL3973	CHEMBL4594428	9.330	
CHEMBL3650	CHEMBL4594428	9.330	
CHEMBL2742	CHEMBL4594428	8.823	
CHEMBL3116	CHEMBL4594423	7.080	
CHEMBL4015	CHEMBL4594419	8.210	
CHEMBL274	CHEMBL4594419	8.440	
CHEMBL5251	CHEMBL4594348	7.480	
CHEMBL4302	CHEMBL4594298	8.080	
CHEMBL1892	CHEMBL4594280	8.295	
CHEMBL2000	CHEMBL4594271	8.347	
CHEMBL1801	CHEMBL4594271	5.400	
CHEMBL5805	CHEMBL4594258	6.660	
CHEMBL3231	CHEMBL4594250	8.245	
CHEMBL1865	CHEMBL459265	6.020	
CHEMBL240	CHEMBL4592045	9.000	
CHEMBL236	CHEMBL4592045	5.190	
CHEMBL233	CHEMBL4592045	6.655	
CHEMBL4093	CHEMBL459008	4.180	
CHEMBL3575	CHEMBL459008	2.620	
CHEMBL1293226	CHEMBL459	5.520	
CHEMBL1293224	CHEMBL459	5.033	
CHEMBL1075138	CHEMBL459	6.200	
CHEMBL1075138	CHEMBL458769	4.800	
CHEMBL1744522	CHEMBL4585668	7.927	
CHEMBL5319	CHEMBL4583691	8.740	
CHEMBL5145	CHEMBL4583691	8.467	
CHEMBL5122	CHEMBL4583691	8.000	
CHEMBL1913	CHEMBL4583691	7.850	
CHEMBL1906	CHEMBL4583691	8.426	
CHEMBL2971	CHEMBL4582651	8.700	
CHEMBL1974	CHEMBL4582651	8.190	
CHEMBL5558	CHEMBL45816	6.890	
CHEMBL4641	CHEMBL45816	6.106	
CHEMBL4296	CHEMBL45816	6.300	
CHEMBL240	CHEMBL45816	5.977	
CHEMBL1980	CHEMBL45816	6.300	
CHEMBL1940	CHEMBL45816	6.650	
CHEMBL1859	CHEMBL45816	6.543	
CHEMBL6002	CHEMBL4578881	7.980	
CHEMBL5719	CHEMBL4578881	6.973	
CHEMBL3553	CHEMBL4577523	5.550	
CHEMBL2835	CHEMBL4577523	7.063	
CHEMBL5393	CHEMBL457547	4.680	
CHEMBL3227	CHEMBL4571075	9.220	
CHEMBL4315	CHEMBL457077	4.690	
CHEMBL3729	CHEMBL457077	7.180	
CHEMBL3242	CHEMBL457077	7.400	
CHEMBL2326	CHEMBL457077	7.150	
CHEMBL205	CHEMBL457077	5.020	
CHEMBL3194	CHEMBL457	7.000	
CHEMBL239	CHEMBL457	4.580	
CHEMBL235	CHEMBL457	4.170	
CHEMBL1795168	CHEMBL457	5.140	
CHEMBL1075138	CHEMBL457	4.150	
CHEMBL288	CHEMBL4568146	8.460	
CHEMBL6020	CHEMBL4567446	4.030	
CHEMBL5393	CHEMBL4567446	4.170	
CHEMBL4829	CHEMBL4567446	7.690	
CHEMBL3351	CHEMBL4567446	7.600	
CHEMBL3004	CHEMBL4567446	4.410	
CHEMBL1697668	CHEMBL4567446	4.930	
CHEMBL4093	CHEMBL456237	6.705	
CHEMBL3401	CHEMBL456237	5.750	
CHEMBL2808	CHEMBL456237	5.737	
CHEMBL2034	CHEMBL456237	6.000	
CHEMBL1892	CHEMBL456029	8.260	
CHEMBL5843	CHEMBL456	4.850	
CHEMBL5169200	CHEMBL456	4.740	
CHEMBL3902	CHEMBL456	5.435	
CHEMBL3409	CHEMBL456	5.300	
CHEMBL3174	CHEMBL456	4.600	
CHEMBL2171	CHEMBL456	5.350	
CHEMBL1293224	CHEMBL456	4.875	
CHEMBL279	CHEMBL4559134	7.000	
CHEMBL5554	CHEMBL4558527	8.500	
CHEMBL4005	CHEMBL4558527	7.200	
CHEMBL3268	CHEMBL4558527	5.500	
CHEMBL3130	CHEMBL4558527	8.917	
CHEMBL1163120	CHEMBL4558527	7.200	
CHEMBL1075165	CHEMBL4558527	6.300	
CHEMBL1075102	CHEMBL4558527	5.400	
CHEMBL203	CHEMBL4558324	7.518	
CHEMBL1824	CHEMBL4558324	6.360	
CHEMBL5113	CHEMBL455136	7.405	
CHEMBL4792	CHEMBL455136	7.173	
CHEMBL202	CHEMBL455	4.750	
CHEMBL1075138	CHEMBL455	5.050	
CHEMBL4409	CHEMBL4549658	4.960	
CHEMBL1275212	CHEMBL4549658	7.752	
CHEMBL1974	CHEMBL4544478	9.310	
CHEMBL1293224	CHEMBL454446	4.650	
CHEMBL288	CHEMBL4541964	8.117	
CHEMBL2047	CHEMBL454138	7.800	
CHEMBL5112	CHEMBL454095	8.300	
CHEMBL4956	CHEMBL454095	8.700	
CHEMBL3026	CHEMBL454095	8.400	
CHEMBL2579	CHEMBL454095	5.190	
CHEMBL2472	CHEMBL454095	5.920	
CHEMBL1962	CHEMBL454095	9.000	
CHEMBL4877	CHEMBL4540843	8.783	
CHEMBL4777	CHEMBL4540843	6.355	
CHEMBL4561	CHEMBL4540843	7.760	
CHEMBL4878	CHEMBL453805	6.000	
CHEMBL4822	CHEMBL453805	4.280	
CHEMBL4302	CHEMBL453805	4.550	
CHEMBL234	CHEMBL45305	5.000	
CHEMBL219	CHEMBL45305	5.700	
CHEMBL217	CHEMBL45305	4.580	
CHEMBL214	CHEMBL45305	9.000	
CHEMBL240	CHEMBL4529465	4.890	
CHEMBL213	CHEMBL452861	8.730	
CHEMBL1961788	CHEMBL452861	4.140	
CHEMBL206	CHEMBL4526356	8.197	
CHEMBL2954	CHEMBL4525964	4.110	
CHEMBL1163125	CHEMBL4521078	8.490	
CHEMBL4478	CHEMBL452076	4.580	
CHEMBL1859	CHEMBL452076	4.620	
CHEMBL5620	CHEMBL451887	7.700	
CHEMBL4662	CHEMBL451887	8.175	
CHEMBL3492	CHEMBL451887	5.878	
CHEMBL3174	CHEMBL451887	6.820	
CHEMBL240	CHEMBL451887	4.040	
CHEMBL1944496	CHEMBL451887	6.050	
CHEMBL1944495	CHEMBL451887	6.103	
CHEMBL1784	CHEMBL4518483	7.153	
CHEMBL220	CHEMBL451635	4.508	
CHEMBL3973	CHEMBL4514636	8.213	
CHEMBL3650	CHEMBL4514636	6.020	
CHEMBL1978	CHEMBL451168	5.020	
CHEMBL242	CHEMBL450940	8.300	
CHEMBL206	CHEMBL450940	5.920	
CHEMBL4979	CHEMBL450044	4.813	
CHEMBL3884	CHEMBL450044	6.700	
CHEMBL1770047	CHEMBL450044	6.580	
CHEMBL4878	CHEMBL45	4.850	
CHEMBL3959	CHEMBL45	5.567	
CHEMBL3714531	CHEMBL45	4.120	
CHEMBL264	CHEMBL45	9.300	
CHEMBL2439	CHEMBL45	5.520	
CHEMBL1945	CHEMBL45	9.604	
CHEMBL1075138	CHEMBL45	4.250	
CHEMBL1293224	CHEMBL449782	7.050	
CHEMBL1075138	CHEMBL449782	4.800	
CHEMBL262	CHEMBL449317	4.000	
CHEMBL2996	CHEMBL449158	9.160	
CHEMBL299	CHEMBL449158	9.320	
CHEMBL1075138	CHEMBL448500	4.050	
CHEMBL6020	CHEMBL4483575	5.180	
CHEMBL5251	CHEMBL4483575	8.593	
CHEMBL4367	CHEMBL4483575	4.770	
CHEMBL4246	CHEMBL4483575	7.110	
CHEMBL3834	CHEMBL4483575	6.115	
CHEMBL3268	CHEMBL4483575	5.510	
CHEMBL3009	CHEMBL4483575	4.520	
CHEMBL2959	CHEMBL4483575	4.520	
CHEMBL240	CHEMBL4483575	5.850	
CHEMBL2250	CHEMBL4483575	4.520	
CHEMBL2148	CHEMBL4483575	4.720	
CHEMBL203	CHEMBL4483575	4.520	
CHEMBL1824	CHEMBL4483575	4.520	
CHEMBL1847	CHEMBL448	4.060	
CHEMBL4429	CHEMBL447955	7.120	
CHEMBL249	CHEMBL447955	9.120	
CHEMBL2327	CHEMBL447955	7.120	
CHEMBL1075162	CHEMBL44793	5.790	
CHEMBL256	CHEMBL447664	6.000	
CHEMBL255	CHEMBL447664	7.200	
CHEMBL251	CHEMBL447664	8.995	
CHEMBL242	CHEMBL4475463	8.070	
CHEMBL206	CHEMBL4475463	8.405	
CHEMBL3392948	CHEMBL4475199	7.053	
CHEMBL2231	CHEMBL44746	5.410	
CHEMBL3401	CHEMBL4472508	5.100	
CHEMBL1741186	CHEMBL4472508	7.226	
CHEMBL5957	CHEMBL4471306	9.854	
CHEMBL3983	CHEMBL4469414	8.790	
CHEMBL1795116	CHEMBL4466233	8.030	
CHEMBL1806	CHEMBL44657	4.255	
CHEMBL3714079	CHEMBL446452	6.110	
CHEMBL3201	CHEMBL446452	5.580	
CHEMBL1293224	CHEMBL446452	4.675	
CHEMBL1075138	CHEMBL446452	4.450	
CHEMBL4442	CHEMBL4462530	7.640	
CHEMBL4376	CHEMBL4462530	5.060	
CHEMBL331	CHEMBL4462530	6.300	
CHEMBL3116	CHEMBL4462530	7.865	
CHEMBL308	CHEMBL4462530	6.430	
CHEMBL3055	CHEMBL4462530	5.960	
CHEMBL2850	CHEMBL4462530	6.730	
CHEMBL262	CHEMBL4462530	6.610	
CHEMBL2543	CHEMBL4462530	5.180	
CHEMBL2508	CHEMBL4462530	6.440	
CHEMBL2426	CHEMBL4462530	5.260	
CHEMBL2276	CHEMBL4462530	5.550	
CHEMBL3717	CHEMBL4461070	7.975	
CHEMBL220	CHEMBL446060	5.935	
CHEMBL1075138	CHEMBL446	4.150	
CHEMBL3553	CHEMBL4459585	7.795	
CHEMBL5790	CHEMBL445813	8.150	
CHEMBL5701	CHEMBL445813	5.190	
CHEMBL5332	CHEMBL445813	6.600	
CHEMBL5261	CHEMBL445813	6.030	
CHEMBL4597	CHEMBL445813	8.100	
CHEMBL4226	CHEMBL445813	7.920	
CHEMBL4224	CHEMBL445813	5.350	
CHEMBL331	CHEMBL445813	7.407	
CHEMBL3116	CHEMBL445813	8.050	
CHEMBL308	CHEMBL445813	6.843	
CHEMBL3055	CHEMBL445813	5.390	
CHEMBL301	CHEMBL445813	7.357	
CHEMBL2850	CHEMBL445813	7.480	
CHEMBL262	CHEMBL445813	7.240	
CHEMBL2508	CHEMBL445813	6.883	
CHEMBL2292	CHEMBL445813	5.960	
CHEMBL1795192	CHEMBL445813	6.690	
CHEMBL1075195	CHEMBL445813	6.130	
CHEMBL4015	CHEMBL4457723	9.400	
CHEMBL274	CHEMBL4457723	6.540	
CHEMBL239	CHEMBL445740	5.020	
CHEMBL2413	CHEMBL4456123	8.530	
CHEMBL240	CHEMBL4456123	4.170	
CHEMBL213	CHEMBL4456123	5.730	
CHEMBL3983	CHEMBL4456085	9.012	
CHEMBL5347	CHEMBL445472	4.680	
CHEMBL236	CHEMBL445332	5.293	
CHEMBL233	CHEMBL445332	5.610	
CHEMBL1075138	CHEMBL445332	4.350	
CHEMBL4478	CHEMBL445	5.000	
CHEMBL3371	CHEMBL445	6.670	
CHEMBL4860	CHEMBL4446378	5.917	
CHEMBL4625	CHEMBL4446378	6.057	
CHEMBL4361	CHEMBL4446378	10.060	
CHEMBL5288	CHEMBL4446357	7.720	
CHEMBL331	CHEMBL4446357	9.890	
CHEMBL308	CHEMBL4446357	6.220	
CHEMBL301	CHEMBL4446357	9.050	
CHEMBL2508	CHEMBL4446357	9.800	
CHEMBL2413	CHEMBL4444976	8.400	
CHEMBL1075138	CHEMBL444480	5.550	
CHEMBL4822	CHEMBL444478	8.200	
