target	compound	pchembl_value	
CHEMBL1821	CHEMBL965	5.877	
CHEMBL6032	CHEMBL964	6.220	
CHEMBL6031	CHEMBL964	5.800	
CHEMBL4523247	CHEMBL964	6.400	
CHEMBL4295926	CHEMBL964	7.230	
CHEMBL4191	CHEMBL964	6.170	
CHEMBL4105989	CHEMBL964	7.030	
CHEMBL3975	CHEMBL964	5.880	
CHEMBL3577	CHEMBL964	6.890	
CHEMBL2311243	CHEMBL964	6.230	
CHEMBL2249	CHEMBL964	6.500	
CHEMBL1935	CHEMBL964	5.470	
CHEMBL1293224	CHEMBL964	5.500	
CHEMBL236	CHEMBL963	7.160	
CHEMBL233	CHEMBL963	8.750	
CHEMBL240	CHEMBL96153	6.600	
CHEMBL5281	CHEMBL961	6.070	
CHEMBL4523247	CHEMBL961	6.400	
CHEMBL1966	CHEMBL960	6.100	
CHEMBL5208	CHEMBL96	5.552	
CHEMBL4535	CHEMBL96	4.580	
CHEMBL3715	CHEMBL96	5.154	
CHEMBL3561	CHEMBL96	6.460	
CHEMBL3308912	CHEMBL96	7.390	
CHEMBL1903	CHEMBL96	5.325	
CHEMBL1743126	CHEMBL959	5.140	
CHEMBL1743122	CHEMBL959	5.360	
CHEMBL6020	CHEMBL957	4.420	
CHEMBL4415	CHEMBL957	4.220	
CHEMBL252	CHEMBL957	7.301	
CHEMBL1785	CHEMBL957	6.648	
CHEMBL221	CHEMBL956	6.250	
CHEMBL221	CHEMBL954	6.460	
CHEMBL2331065	CHEMBL953	5.490	
CHEMBL2023	CHEMBL953	6.815	
CHEMBL1293267	CHEMBL953	4.715	
CHEMBL1862	CHEMBL9514	6.190	
CHEMBL1293224	CHEMBL9514	4.700	
CHEMBL204	CHEMBL9509	4.670	
CHEMBL1293224	CHEMBL9509	4.650	
CHEMBL3155	CHEMBL95067	7.750	
CHEMBL298	CHEMBL9506	7.290	
CHEMBL1901	CHEMBL9506	9.560	
CHEMBL5685	CHEMBL95	4.660	
CHEMBL5421	CHEMBL95	3.050	
CHEMBL4523235	CHEMBL95	3.700	
CHEMBL2487	CHEMBL95	7.910	
CHEMBL2484	CHEMBL95	6.820	
CHEMBL240	CHEMBL95	4.840	
CHEMBL2331065	CHEMBL95	5.770	
CHEMBL220	CHEMBL95	6.721	
CHEMBL1914	CHEMBL95	7.479	
CHEMBL240	CHEMBL9484	7.900	
CHEMBL5685	CHEMBL945	4.240	
CHEMBL3058	CHEMBL945	4.680	
CHEMBL2781	CHEMBL945	4.220	
CHEMBL251	CHEMBL945	5.113	
CHEMBL2331065	CHEMBL945	5.320	
CHEMBL240	CHEMBL94454	6.172	
CHEMBL231	CHEMBL94454	8.570	
CHEMBL5103	CHEMBL94394	4.910	
CHEMBL1865	CHEMBL94394	4.970	
CHEMBL6002	CHEMBL941	5.260	
CHEMBL5575	CHEMBL941	5.500	
CHEMBL5553	CHEMBL941	6.360	
CHEMBL5393	CHEMBL941	5.370	
CHEMBL5319	CHEMBL941	7.886	
CHEMBL5260	CHEMBL941	5.370	
CHEMBL5146	CHEMBL941	8.150	
CHEMBL5145	CHEMBL941	5.480	
CHEMBL5122	CHEMBL941	6.910	
CHEMBL4789	CHEMBL941	4.700	
CHEMBL4578	CHEMBL941	5.720	
CHEMBL4525	CHEMBL941	5.415	
CHEMBL4454	CHEMBL941	5.620	
CHEMBL4355	CHEMBL941	5.720	
CHEMBL4302	CHEMBL941	5.355	
CHEMBL4224	CHEMBL941	5.350	
CHEMBL4223	CHEMBL941	5.640	
CHEMBL4203	CHEMBL941	5.580	
CHEMBL4179	CHEMBL941	5.280	
CHEMBL4134	CHEMBL941	5.765	
